structure, size, time(ns)
splay, 2^7, 291395
splay, 2^8, 400634
splay, 2^9, 423188
veb, 2^6, 1618311
veb, 2^7, 1501465
veb, 2^8, 1776937
veb, 2^9, 1782161
bst, 2^6, 64797
bst, 2^7, 77027
bst, 2^8, 86839
bst, 2^9, 104933
avl, 2^6, 51042
avl, 2^7, 58731
avl, 2^8, 79304
avl, 2^9, 77962
splay, 2^6, 251990
splay, 2^7, 290962
splay, 2^8, 332311
splay, 2^9, 404544
veb, 2^6, 1517629
veb, 2^7, 1507632
veb, 2^8, 1760571
veb, 2^9, 1696283
bst, 2^6, 56722
bst, 2^7, 65484
bst, 2^8, 75662
bst, 2^9, 87081
avl, 2^6, 65811
avl, 2^7, 70676
avl, 2^8, 79855
avl, 2^9, 77249
splay, 2^6, 296424
splay, 2^7, 351829
splay, 2^8, 394087
splay, 2^9, 413844
veb, 2^6, 1734565
veb, 2^7, 1839756
veb, 2^8, 1807524
veb, 2^9, 1867960
bst, 2^6, 72123
bst, 2^7, 73724
bst, 2^8, 91138
bst, 2^9, 97411
avl, 2^6, 60958
avl, 2^7, 70378
avl, 2^8, 80361
avl, 2^9, 95836
splay, 2^6, 296880
splay, 2^7, 349172
splay, 2^8, 330668
splay, 2^9, 350807
veb, 2^6, 1574410
veb, 2^7, 1773851
veb, 2^8, 1789641
veb, 2^9, 1697006
bst, 2^6, 56666
bst, 2^7, 65643
bst, 2^8, 76241
bst, 2^9, 103299
avl, 2^6, 61490
avl, 2^7, 70796
avl, 2^8, 67840
avl, 2^9, 77216
splay, 2^6, 250303
splay, 2^7, 294687
splay, 2^8, 337088
splay, 2^9, 351758
veb, 2^6, 1661851
veb, 2^7, 1507235
veb, 2^8, 1695977
veb, 2^9, 1805915
bst, 2^6, 65562
bst, 2^7, 74914
bst, 2^8, 95739
bst, 2^9, 87891
avl, 2^6, 51693
avl, 2^7, 59417
avl, 2^8, 80155
avl, 2^9, 92387
splay, 2^6, 304211
splay, 2^7, 290497
splay, 2^8, 329692
splay, 2^9, 345831
veb, 2^6, 1539410
veb, 2^7, 1499041
veb, 2^8, 1593483
veb, 2^9, 1695457
bst, 2^6, 55284
bst, 2^7, 63207
bst, 2^8, 73547
bst, 2^9, 84602
avl, 2^6, 51816
avl, 2^7, 59785
avl, 2^8, 67582
avl, 2^9, 76956
splay, 2^6, 247623
splay, 2^7, 290821
splay, 2^8, 332977
splay, 2^9, 349909
veb, 2^6, 1446376
veb, 2^7, 1665614
veb, 2^8, 1594470
veb, 2^9, 1841484
bst, 2^6, 55726
bst, 2^7, 63824
bst, 2^8, 74937
bst, 2^9, 84299
avl, 2^6, 50468
avl, 2^7, 58107
avl, 2^8, 67902
avl, 2^9, 92563
splay, 2^6, 296371
splay, 2^7, 345573
splay, 2^8, 332240
splay, 2^9, 358399
veb, 2^6, 1479312
veb, 2^7, 1698484
