structure, operation, time(ns)
bst, put, 1153244
bst, delete, 5606
avl, put, 1574786
avl, delete, 1389842
splay, put, 11508
splay, delete, 35761
veb, put, 1271362
veb, delete, 1894620
bst, put, 1227659
bst, delete, 4542
avl, put, 1347858
avl, delete, 1319157
splay, put, 11464
splay, delete, 35235
veb, put, 1365666
veb, delete, 1924871
bst, put, 1062762
bst, delete, 4468
avl, put, 1357555
avl, delete, 1512247
splay, put, 11350
splay, delete, 35255
veb, put, 1266571
veb, delete, 1843882
bst, put, 1146025
bst, delete, 5399
avl, put, 1468306
avl, delete, 1423976
splay, put, 11524
splay, delete, 34626
veb, put, 1265879
veb, delete, 2013910
bst, put, 1191289
bst, delete, 5282
avl, put, 1343177
avl, delete, 1416611
splay, put, 13249
splay, delete, 41294
veb, put, 1336479
veb, delete, 1846251
bst, put, 1038873
bst, delete, 4504
avl, put, 1519422
avl, delete, 1338683
splay, put, 12161
splay, delete, 35717
veb, put, 1408159
veb, delete, 2173177
bst, put, 1099624
bst, delete, 5317
avl, put, 1583665
avl, delete, 1571393
splay, put, 13324
splay, delete, 41312
veb, put, 1510457
veb, delete, 2114105
bst, put, 1083289
bst, delete, 5319
avl, put, 1462008
avl, delete, 1312623
splay, put, 11390
splay, delete, 35881
veb, put, 1267267
veb, delete, 2014551
bst, put, 1047514
bst, delete, 4441
avl, put, 1321692
avl, delete, 1300283
splay, put, 11548
splay, delete, 36002
veb, put, 1442612
veb, delete, 2031264
bst, put, 1050835
bst, delete, 4354
avl, put, 1461846
avl, delete, 1337926
splay, put, 11320
splay, delete, 34920
veb, put, 1269842
veb, delete, 2183916
bst, put, 1240707
bst, delete, 5351
avl, put, 1546593
avl, delete, 1533086
splay, put, 13468
splay, delete, 41126
veb, put, 1504229
veb, delete, 2108959
bst, put, 1076558
bst, delete, 5304
avl, put, 1522377
avl, delete, 1311090
splay, put, 11236
splay, delete, 35164
veb, put, 1265298
veb, delete, 1962802
bst, put, 1106741
bst, delete, 5385
avl, put, 1603285
avl, delete, 1387455
splay, put, 11239
splay, delete, 34945
veb, put, 1448364
veb, delete, 1917406
bst, put, 1133693
bst, delete, 4598
avl, put, 1540490
avl, delete, 1409704
splay, put, 13381
splay, delete, 40898
veb, put, 1396301
veb, delete, 2047618
bst, put, 1119919
bst, delete, 4442
avl, put, 1433291
avl, delete, 1349098
splay, put, 11399
splay, delete, 35520
veb, put, 1421899
veb, delete, 1864734
bst, put, 1036119
bst, delete, 4470
avl, put, 1357702
avl, delete, 1463877
splay, put, 11185
splay, delete, 34735
veb, put, 1268498
veb, delete, 1847685
bst, put, 1158333
bst, delete, 5265
avl, put, 1349972
avl, delete, 1283933
splay, put, 12107
splay, delete, 35834
veb, put, 1271233
veb, delete, 2009011
bst, put, 1032992
bst, delete, 4474
avl, put, 1353597
avl, delete, 1351421
splay, put, 13256
splay, delete, 41798
veb, put, 1377991
veb, delete, 1845551
bst, put, 1037463
bst, delete, 4487
avl, put, 1483071
avl, delete, 1314126
splay, put, 11439
splay, delete, 34469
veb, put, 1273863
veb, delete, 1910644
bst, put, 1147039
bst, delete, 4470
avl, put, 1304905
avl, delete, 1444747
splay, put, 11922
splay, delete, 35434
veb, put, 1375442
veb, delete, 2075046
bst, put, 1158181
bst, delete, 5305
avl, put, 1463850
avl, delete, 1439220
splay, put, 12831
splay, delete, 36594
veb, put, 1265406
veb, delete, 1846053
bst, put, 1142595
bst, delete, 5319
avl, put, 1362487
avl, delete, 1324724
splay, put, 11286
splay, delete, 35169
veb, put, 1265470
veb, delete, 2010347
bst, put, 1014123
bst, delete, 4529
avl, put, 1323864
avl, delete, 1368280
splay, put, 13545
splay, delete, 41105
veb, put, 1347871
veb, delete, 1840471
bst, put, 1023107
bst, delete, 4474
avl, put, 1484596
avl, delete, 1285979
splay, put, 11298
splay, delete, 35050
veb, put, 1302645
veb, delete, 2098865
bst, put, 1189797
bst, delete, 5299
avl, put, 1486805
avl, delete, 1362430
splay, put, 12377
splay, delete, 35351
veb, put, 1440592
veb, delete, 1862384
bst, put, 1126538
bst, delete, 5298
avl, put, 1468220
avl, delete, 1350397
splay, put, 11533
splay, delete, 35373
veb, put, 1392137
veb, delete, 2138632
bst, put, 1098952
bst, delete, 4541
avl, put, 1474484
avl, delete, 1339844
splay, put, 11299
splay, delete, 35983
veb, put, 1447257
veb, delete, 2007211
bst, put, 1035368
bst, delete, 4474
avl, put, 1428732
avl, delete, 1477929
splay, put, 11539
splay, delete, 35960
veb, put, 1273827
veb, delete, 1844136
bst, put, 1266939
bst, delete, 5699
avl, put, 1337788
avl, delete, 1305901
splay, put, 12982
splay, delete, 35324
veb, put, 1406093
veb, delete, 1896077
bst, put, 1020573
bst, delete, 4489
avl, put, 1349884
avl, delete, 1398960
splay, put, 13255
splay, delete, 41583
veb, put, 1335698
veb, delete, 1843685
bst, put, 1032364
bst, delete, 4505
avl, put, 3548560
avl, delete, 1385064
splay, put, 11522
splay, delete, 37257
veb, put, 1459500
veb, delete, 1865995
bst, put, 1041442
bst, delete, 4621
avl, put, 1525189
avl, delete, 1338255
splay, put, 11283
splay, delete, 34931
veb, put, 1269101
veb, delete, 2137963
bst, put, 1245501
bst, delete, 5480
avl, put, 1597987
avl, delete, 1467697
splay, put, 11300
splay, delete, 36005
veb, put, 1447265
veb, delete, 1966074
bst, put, 1246539
bst, delete, 5484
avl, put, 1470547
avl, delete, 1401070
splay, put, 11124
splay, delete, 35052
veb, put, 1274745
veb, delete, 1844652
bst, put, 1214560
bst, delete, 4657
avl, put, 1355652
avl, delete, 1483289
splay, put, 11366
splay, delete, 35494
veb, put, 1314982
veb, delete, 1967454
bst, put, 1040707
bst, delete, 4681
avl, put, 1329086
avl, delete, 1454864
splay, put, 13070
splay, delete, 50532
veb, put, 1399243
veb, delete, 1887179
bst, put, 1076834
bst, delete, 5537
avl, put, 1433901
avl, delete, 1279432
splay, put, 11206
splay, delete, 34949
veb, put, 1269712
veb, delete, 2010633
bst, put, 1045295
bst, delete, 5493
avl, put, 1493850
avl, delete, 1311105
splay, put, 11330
splay, delete, 35090
veb, put, 1439886
veb, delete, 1956027
bst, put, 1101395
bst, delete, 4528
avl, put, 1444681
avl, delete, 1344941
splay, put, 11270
splay, delete, 36337
veb, put, 1272899
veb, delete, 1880694
bst, put, 1177593
bst, delete, 4514
avl, put, 1321540
avl, delete, 1351149
splay, put, 13417
splay, delete, 42504
veb, put, 1447255
veb, delete, 2090632
bst, put, 1197554
bst, delete, 5349
